delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/2/2026,7:00,N,LZ_LCRA,17.86
1/2/2026,7:00,N,LZ_NORTH,19.54
1/2/2026,7:00,N,LZ_RAYBN,23.19
1/2/2026,7:00,N,LZ_SOUTH,18.44
1/2/2026,7:00,N,LZ_WEST,20.72
1/2/2026,8:00,N,HB_BUSAVG,20.2
1/2/2026,8:00,N,HB_HOUSTON,19.95
1/2/2026,8:00,N,HB_HUBAVG,18.98
1/2/2026,8:00,N,HB_NORTH,22
1/2/2026,8:00,N,HB_PAN,6.85
1/2/2026,8:00,N,HB_SOUTH,18.93
1/2/2026,8:00,N,HB_WEST,15.04
1/2/2026,8:00,N,LZ_AEN,18.9
1/2/2026,8:00,N,LZ_CPS,18.7
1/2/2026,8:00,N,LZ_HOUSTON,19.89
1/2/2026,8:00,N,LZ_LCRA,18.83
1/2/2026,8:00,N,LZ_NORTH,20.31
1/2/2026,8:00,N,LZ_RAYBN,23.49
1/2/2026,8:00,N,LZ_SOUTH,19.24
1/2/2026,8:00,N,LZ_WEST,19.83
1/2/2026,9:00,N,HB_BUSAVG,15.55
1/2/2026,9:00,N,HB_HOUSTON,15.51
1/2/2026,9:00,N,HB_HUBAVG,14.49
1/2/2026,9:00,N,HB_NORTH,16.99
1/2/2026,9:00,N,HB_PAN,5.36
1/2/2026,9:00,N,HB_SOUTH,15
1/2/2026,9:00,N,HB_WEST,10.45
1/2/2026,9:00,N,LZ_AEN,14.93
1/2/2026,9:00,N,LZ_CPS,14.88
1/2/2026,9:00,N,LZ_HOUSTON,15.47
1/2/2026,9:00,N,LZ_LCRA,14.91
1/2/2026,9:00,N,LZ_NORTH,15.79
1/2/2026,9:00,N,LZ_RAYBN,18.1
1/2/2026,9:00,N,LZ_SOUTH,15.27
1/2/2026,9:00,N,LZ_WEST,11.13
1/2/2026,10:00,N,HB_BUSAVG,3.47
1/2/2026,10:00,N,HB_HOUSTON,2.8
1/2/2026,10:00,N,HB_HUBAVG,2.64
1/2/2026,10:00,N,HB_NORTH,4.81
1/2/2026,10:00,N,HB_PAN,-2.31
1/2/2026,10:00,N,HB_SOUTH,2.31
1/2/2026,10:00,N,HB_WEST,0.62
1/2/2026,10:00,N,LZ_AEN,2.12
1/2/2026,10:00,N,LZ_CPS,2.29
1/2/2026,10:00,N,LZ_HOUSTON,2.77
1/2/2026,10:00,N,LZ_LCRA,2.18
1/2/2026,10:00,N,LZ_NORTH,4.3
1/2/2026,10:00,N,LZ_RAYBN,5.76
1/2/2026,10:00,N,LZ_SOUTH,2.56
1/2/2026,10:00,N,LZ_WEST,0.78
1/2/2026,11:00,N,HB_BUSAVG,3.33
1/2/2026,11:00,N,HB_HOUSTON,2.17
1/2/2026,11:00,N,HB_HUBAVG,2.45
1/2/2026,11:00,N,HB_NORTH,4.82
1/2/2026,11:00,N,HB_PAN,-1.57
1/2/2026,11:00,N,HB_SOUTH,1.94
1/2/2026,11:00,N,HB_WEST,0.87
1/2/2026,11:00,N,LZ_AEN,1.51
1/2/2026,11:00,N,LZ_CPS,1.93
1/2/2026,11:00,N,LZ_HOUSTON,2.16
1/2/2026,11:00,N,LZ_LCRA,1.76
1/2/2026,11:00,N,LZ_NORTH,4.64
1/2/2026,11:00,N,LZ_RAYBN,5.85
1/2/2026,11:00,N,LZ_SOUTH,2.44
1/2/2026,11:00,N,LZ_WEST,0.62
1/2/2026,12:00,N,HB_BUSAVG,3.78
1/2/2026,12:00,N,HB_HOUSTON,2.82
1/2/2026,12:00,N,HB_HUBAVG,2.96
1/2/2026,12:00,N,HB_NORTH,5.12
